"newspaper","location","circulation","e2016","e2012","link","lat","lng","blurb"
"The Enterprise","Brockton, MA",23197,"C","","http://www.enterprisenews.com/opinion/20161030/our-opinion-hillary-clinton-for-president",42.1031071,-71.021446,"While some voters may not like Clinton, a presidential election is not a personality contest, and the hatred so many express toward her is unwarranted. It is  reasonable to ask whether the vitriol has more to do with gender than reality."
"Daily Reflector","Greenville, NC",23051,"T","Mitt Romney","http://www.reflector.com/Editorials/2016/10/30/America-needs-strong-leadership-from-next-president.html",35.612661,-77.3663538,"Trump has an impressive record of success in business, demonstrating a keen ability to negotiate deals, form successful business partnerships and negotiate with foreign and domestic banks, politicians and various government agencies. Trump&rsquo;s business acumen can certainly be applied to all areas to create trade policy, economic development, health care finance, partnerships with world leaders for common defense and build solutions to shared humanitarian challenges."
"Concord Monitor","Concord, NH",22747,"C","Barack Obama","http://www.concordmonitor.com/Hillary-Clinton-for-preside-t-5396703",43.2736729,-71.5637827,"It will come as a surprise to no one that this newspaper strongly endorses Hillary Clinton for president. Her opponent, Donald Trump, is completely unfit to serve and unfit to be a role model for anyone, let alone children. And that’s enough about him."
"The Courier","Findlay, OH",22425,"NO","Mitt Romney","http://thecourier.com/opinion/couriers-view/2016/10/01/why-we-wont-endorse-trump-or-clinton/",41.04422,-83.6499321,"Trump regularly careens far afield from what we expect from our president. He lacks simple honesty, integrity, temperament, intelligence, empathy, brotherhood, consistency, equality, manners, and courtesy, not to mention reasonable conservative policies and values."
"Kokomo Tribune","Kokomo, IN",21908,"C","","http://www.kokomotribune.com/opinion/editorials/editorial-hillary-clinton-for-president/article_c741ef12-8d57-11e6-9771-4bc979804fd7.html",40.486427,-86.1336033,"Here, residents value generosity, humility and servanthood. We aspire to selflessness in all we do and encourage our children to follow that example.\nRepublican Donald Trump doesn’t share those values — made shockingly clear after Friday&rsquo;s release of his vulgar comments in a video from 2005. Democrat Hillary Clinton does."
"Bowling Green Daily News","Bowling Green, KY",21709,"T","Mitt Romney","http://www.bgdailynews.com/opinion/our_opinion/on-issues-of-liberty-trump-is-the-choice/article_ea83e186-ae77-5db1-8d94-9dab4184ae43.html",36.968522,-86.480804,"Given what we believe is at risk in this election, including the erosion of our individual liberties by an overreaching government and the rule of law, we believe that crass trumps corrupt by a wide margin."
"The Free Press","Mankato, MN",21708,"C","","http://www.mankatofreepress.com/opinion/editorials/our-view-hillary-clinton-for-president/article_e994465a-13f8-5526-bd6a-c9570b7104c2.html",44.1635775,-93.9993996,"The grandmother and mother also wins on character and temperament. She is not a flawless candidate — no one with public service experience ever is — but she knows eight words that count most when she is wrong: &lsquo;I made a mistake. I take full responsibility.&rsquo;"
"Times-Standard","Eureka, CA",21623,"C","","http://www.times-standard.com/opinion/20161008/its-clinton-vs-trump-and-were-with-her",40.8020712,-124.1636729,"Two candidates have a shot at the White House. One of them is the most qualified candidate to seek the presidency in decades.\nThe other is an embarrassment — to himself; to the party that has allowed him to become its standard bearer; and to our nation, at home and abroad."
"Watertown Daily Times","Watertown, NY",21583,"C","Mitt Romney","http://www.watertowndailytimes.com/opinion/the-less-worse-choice-voters-must-decide-between-2-awful-presidential-candidates-20161102",43.974784,-75.910756,"One of these two candidates will be our next president. It should not be Mrs. Clinton, but it must not be Mr. Trump. Regrettably, the only palatable choice is Mrs. Clinton."
"Dixon Telegraph and Sterling Daily Gazette","Sterling, IL",21399,"NO","","http://www.saukvalley.com/2016/10/21/what-we-think-no-endorsement-for-unpresidential-hopefuls/at8jzjw/",41.788642,-89.6962194,"In these unprecedented times, we find ourselves unable to reach a consensus on a qualified and viable candidate. We regret that the poor choices in this race led us to a non-decision, but we will not lower our standards for the sake of endorsing an unworthy candidate."
"Grand Forks Herald","Grand Forks, ND",21324,"NO","Mitt Romney","http://www.grandforksherald.com/news/4143026-forum-communications-endorsement-president-none-above",47.9252568,-97.0328547,"Donald Trump and Hillary Clinton are among the most flawed candidates in modern times to seek the presidency."
"Mail Tribune","Medford, OR",20505,"C","Barack Obama","http://www.mailtribune.com/opinion/20161101/our-view-trump-must-not-be-president",42.3265152,-122.8755949,"We had planned to refrain from endorsing a candidate for president this year. But that was before Donald Trump became the Republican nominee."
"Bluefield Daily Telegraph","Bluefield, WV",20361,"C","Mitt Romney","http://www.bdtonline.com/opinion/endorsement-hillary-clinton-is-best-prepared-for-the-presidency/article_60652052-8cdf-11e6-87a7-8783890def68.html",37.2698395,-81.2223195,"[Clinton&rsquo;s] experience and public service to the nation as First Lady for eight years, U.S. Senator for eight years and Secretary of State for four years have prepared her to be president and commander in chief. Trump, while inviting to some as a chance for dramatic change, has zero public service experience. For the past 1 1/2 years of his campaign, he has raised serious questions about his values, his temperament and his bombastic promises."
"The Salem News","Salem, MA",20330,"C","","http://www.salemnews.com/opinion/editorials/our-view-hillary-clinton-is-the-clear-choice-for-president/article_3a8425a0-da04-58b0-98ba-8e836db0e226.html",42.51954,-70.8967155,"Say what you will about Clinton, but she is tough, pragmatic, resilient and experienced. And unlike her opponent, Republican Donald Trump, she is not an embarrassing fool. You won’t find her tweeting at 3 a.m., four weeks before Election Day, about a former Miss Universe and her alleged sex tape."
"The Anniston Star","Anniston, AL",20249,"C","Barack Obama","http://www.annistonstar.com/opinion/editorials/the-u-s-needs-a-competent-leader-in-the-white/article_a1b84eca-9fbe-11e6-bafd-3b8dd7de4635.html",33.6598257,-85.8316318,"As she has throughout her public life, Clinton will bring to the presidency a work ethic that values preparation, a firm grasp on policy details, a willingness to bring all sides to the table and a cool demeanor that is seldom rattled."
