newspaper,e2016,e2012,circulation,date,city,state,lat,lng
The Huntsville Item,Hillary Clinton,No endorsement,5506,10/9/2016,Huntsville,Texas,,
News and Tribune,Hillary Clinton,No endorsement,6052,10/9/2016,Jeffersonville,Indiana,,
Greensburg Daily News,Hillary Clinton,No endorsement,6169,10/9/2016,Greensburg,Indiana,,
The Daily Item,Hillary Clinton,Barack Obama,26165,10/9/2016,Sunbury,Pennsylvania,,
The Norman Transcript,Hillary Clinton,No endorsement,16607,10/9/2016,Norman,Oklahoma,,
Times West Virginian,Hillary Clinton,No endorsement,11060,10/9/2016,Fairmont,West Virginia,,
Naples Daily News,No endorsement,Mitt Romney,59079,10/9/2016,Naples,Florida,,
Tribune-Star,Hillary Clinton,No endorsement,20093,10/10/2016,Terre Haute,Indiana,,
The Joplin Globe,Hillary Clinton,Mitt Romney,24000,10/10/2016,Joplin,Missouri,,
The Record,Hillary Clinton,Barack Obama,175452,10/10/2016,Hackensack,New Jersey,,
Daily Hampshire Gazette,Not Donald Trump,No endorsement,14475,10/10/2016,Northampton,Massachusetts,,
The Recorder,Not Donald Trump,No endorsement,14026,10/10/2016,Greenfield,Massachusetts,,
Bristol Herald Courier,No endorsement,No endorsement,41988,10/10/2016,Bristol,Virginia,,
The Times Record,Hillary Clinton,No endorsement,11890,10/10/2016,Brunswick,Maine,,
Santa Cruz Sentinel,Hillary Clinton,Barack Obama,24000,10/11/2016,Scotts Valley,California,,
The Goshen News,Hillary Clinton,No endorsement,15537,10/11/2016,Goshen,Indiana,,
York Daily Record,Not Donald Trump,Barack Obama,47000,10/11/2016,York,Pennsylvania,,
The Bernardsville News,Hillary Clinton,Barack Obama,9200,10/11/2016,Bernardsville,New Jersey,,
Telegraph Herald,Not Donald Trump,No endorsement,34015,10/11/2016,Dubuque,Iowa,,
Mineral Wells Index,Hillary Clinton,No endorsement,2984,10/12/2016,Mineral Wells,Texas,,
Ada Evening News,Hillary Clinton,No endorsement,8040,10/12/2016,Ada,Oklahoma,,
